전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1
59.76,6,55,41,0,0,0,0,0,0,0,0,0,0,0,9.210440366976515
84.9933,14,58,55,0,0,0,0,0,0,0,0,0,0,1,10.440010162389305
59.8159,11,60,46,0,0,0,0,0,0,0,0,0,0,0,10.073272520325904
71.06,13,58,38,1,0,0,0,0,0,0,0,0,0,1,10.34177474101152
46.35,3,55,28,0,0,1,0,0,0,0,0,0,0,0,9.465060106725137
46.94,4,58,21,0,1,0,0,0,0,0,0,0,0,0,9.44943601
84.93,4,59,37,0,0,0,0,1,0,0,0,0,0,0,9.998843186
114.945,14,59,48,0,0,0,0,1,0,0,0,0,0,0,10.799595985047786
84.72,3,57,50,0,0,0,0,1,0,0,0,0,0,1,10.021315031649332
84.9546,15,60,46,0,0,0,0,0,0,1,0,0,0,1,9.787009914477434
104.61,17,56,47,0,0,0,0,1,0,0,0,0,0,0,10.481532475939918
84.9,7,60,36,0,0,0,0,0,0,0,0,1,0,1,8.987321812850125
39.6,7,58,32,1,0,0,0,0,0,0,0,0,0,0,10.51328029770086
59.98,15,60,36,0,0,0,0,1,0,0,0,0,0,0,10.064798252418376
84.992,10,63,54,0,0,0,0,0,0,0,0,0,0,1,9.711176264112805
84.97,13,56,48,1,0,0,0,0,0,0,0,0,0,0,11.03167482454464
83.9456,5,58,57,0,0,0,0,0,0,0,0,0,1,1,9.961803629358965
62.482,8,63,33,0,0,0,1,0,0,0,0,0,0,0,10.335302435967074
59.95,7,59,36,0,0,0,0,0,0,0,0,0,0,1,9.259225769705994
72.6283,13,56,42,0,0,0,0,1,0,0,0,0,0,1,10.221977646629885
82.65,7,58,19,0,0,1,0,0,0,0,0,0,0,1,9.985113621416073
132.18,8,60,31,0,1,0,0,0,0,0,0,0,0,1,10.239995502805316
89.455,24,59,32,0,0,0,0,1,0,0,0,0,0,0,10.893047333337728
106.022,15,60,40,0,0,0,0,1,0,0,0,0,0,0,10.537441898283252
44.18,4,57,29,0,0,0,0,1,0,0,0,0,0,0,9.093918908958932
84.955,2,60,43,0,0,0,0,0,0,0,0,0,0,1,9.798182590890704
59.7686,14,55,41,0,0,0,0,0,0,0,0,0,0,0,10.448743588106623
56.065,1,57,42,0,0,0,0,1,0,0,0,0,0,0,10.703266939811954
84.78,13,56,37,0,0,0,1,0,0,0,0,0,0,1,10.083765355620846
84.99,4,59,40,0,0,0,0,1,0,0,0,0,0,1,9.764282955
84.9921,14,58,56,0,0,0,0,1,0,0,0,0,0,1,10.645448706505872
59.99,17,58,37,0,0,0,0,1,0,0,0,0,0,0,9.998843186
76.56,5,63,32,0,0,0,0,0,0,0,0,0,1,1,8.131824785007195
59.9297,6,59,56,0,0,0,0,1,0,0,0,0,0,1,10.32551474894327
59.866,18,60,42,1,0,0,0,0,0,0,0,0,0,1,10.813780332606648
59.97,4,59,57,0,0,0,0,0,0,0,0,0,0,1,9.878221025
84.993,12,60,58,0,0,0,0,0,0,0,0,1,0,1,10.043292972227004
116.02,7,59,49,0,1,0,0,0,0,0,0,0,0,0,10.545367754151744
59.84,4,58,38,0,1,0,0,0,0,0,0,0,0,1,10.034559673629849
84.4873,8,60,55,0,1,0,0,0,0,0,0,0,0,0,11.302216779257382
84.736,4,59,44,0,0,0,0,0,0,0,0,0,0,1,9.350189267
59.99,6,62,37,0,0,0,0,1,0,0,0,0,0,0,10.764286715905593
59.34,13,62,32,0,0,0,0,0,1,0,0,0,0,0,9.602450025
46.62,1,57,27,0,0,0,0,1,0,0,0,0,0,1,9.244838412
84.98,9,56,39,1,0,0,0,0,0,0,0,0,0,0,10.31473590540002
79.3239,3,62,61,0,0,0,0,0,0,0,0,0,0,1,10.239995502805316
63.06,1,63,28,0,0,0,0,0,0,0,1,0,0,1,9.024131268455037
84.86,11,57,50,0,0,0,0,1,0,0,0,0,0,0,10.335302435967074
51.59,8,60,33,0,0,0,0,1,0,0,0,0,0,0,10.404293143019792
84.75,12,55,38,0,0,0,0,0,0,0,0,0,0,1,10.094149233605084
39.72,3,60,25,0,0,0,0,0,0,0,0,0,1,1,8.936035096566041
76.15,15,58,38,0,0,0,0,0,0,0,0,1,0,0,9.729193687429404
59.965,11,55,37,0,0,0,0,1,0,0,0,0,0,0,10.122663242288953
134.894,12,59,47,0,0,0,1,0,0,0,0,0,0,0,10.568775236216991
84.33,1,58,27,1,0,0,0,0,0,0,0,0,0,1,10.909637269778615
